id,def_spacing
2-2,201.4032175277232
2-3,104.2272746295998
2-4,281.93078232051937
2-6,84.44303540387068
2-8,282.0839398187445
2-9,178.33126248405995
2-10,146.14612250425031
2-11,265.9188398120708
3-1,97.83685443060699
4-1,226.12526393188364
4-2,140.51704660120743
4-4,121.85594551457518
4-6,193.23889864495013
4-7,141.64255344718697
4-8,132.2780753655735
4-9,174.38017727751156
5-3,133.9747450633148
5-4,176.20289300135755
5-5,79.28968710015693
6-1,272.3223064294174
6-3,252.16597808512967
6-4,65.1082120880094
7-1,182.47595586759394
8-1,209.60364785789506
8-2,35.87305040842794
8-3,46.45021529133962
8-4,114.18154529293352
8-6,92.30233132875969
8-7,207.3891433595727
9-1,111.83801326794168
9-2,196.64337633278723
10-3,157.47686401259227
10-6,187.27149349790557
10-7,82.48717132690854
10-8,108.47202454477917
10-9,188.38215706341066
10-10,90.87322443811917
10-12,91.05977476755946
10-13,186.54356175144068
11-2,134.16337318627393
12-2,137.2834033433253
12-3,133.1176497500354
12-4,130.54215035981633
12-6,157.66888052861924
13-1,193.00029030145487
14-1,226.1488916714991
15-1,168.76595283167683
15-2,64.97033183216706
15-4,59.85754360386545
16-1,144.38668497914847
16-3,86.51108172526119
16-4,44.9630013013541
16-5,190.1294675955462
16-6,124.93321596239628
16-7,145.22780726162898
17-1,115.26307563277123
17-2,51.065921114204684
17-3,161.86912696832042
17-6,186.55275308158423
17-7,332.5003538887481
17-8,81.89050238433272
18-3,224.05364149371997
19-1,122.7214419179243
20-2,70.21664009622219
20-4,173.08777632463077
21-1,180.07625731877954
22-2,162.55007498446912
22-3,71.11500174818508
23-1,297.1948355989168
24-1,205.57748531509918
24-2,271.5847233873296
24-3,85.80338085342123
24-4,61.46118672424156
24-6,152.36960254343035
24-7,124.46141476716161
24-8,112.43982784667003
24-9,161.61312447330351
24-10,162.78319327563258
24-11,264.6022438575419
25-1,104.37533142840593
25-2,167.5002652979258
25-3,202.00267107279518
26-1,178.25317151690638
26-2,188.93201540066667
26-3,98.91463727175837
27-1,125.92426395007793
27-2,150.2697519941562
27-3,84.96989381207197
27-4,187.4151396504247
27-5,82.05122912081882
27-7,176.8912027342476
27-9,57.180702455471334
27-12,95.64032192864738
27-13,302.7303537986786
27-14,209.32982381108081
28-4,129.2255723939254
28-6,173.62773808382417
29-1,131.99526691288997
29-2,135.79763328400327
29-3,72.5246876078943
29-4,128.0751788972541
29-5,236.72508853454093
30-1,177.95791613966804
30-2,161.26107730171884
30-3,87.40727177893098
30-4,85.43671702204188
31-1,77.45491079855287
31-2,148.35327174270586
31-3,100.11405076461654
32-1,132.1106228994235
32-2,166.06273594535173
33-2,92.27595965932665
34-1,242.1127249060337
34-2,231.52869867676324
34-3,58.15041311223565
34-4,75.515564710925
34-5,255.3443221602198
35-1,259.70864168744237
35-2,250.1100076046655
35-3,95.32436114994381
35-4,121.85082596107267
35-5,59.21601025080855
35-6,184.3214437883264
35-9,16.560124324120807
35-10,48.143995213728545
35-11,211.9749080936133
35-12,52.920162659183234
37-2,106.54539713768406
37-3,130.89372769158365
38-3,66.91557880326374
38-5,159.41395104309476
39-1,78.8852962315367
40-1,92.88083467005248
40-3,132.45567629334522
40-5,73.68960818389041
41-1,202.08225897370437
41-2,30.706607836537273
41-3,54.37253651223246
41-4,226.13935230909806
41-5,59.521600116639206
43-1,86.73665077095839
45-1,293.5164245891822
46-1,98.67957898122006
46-2,63.997639510505564
46-3,250.4470426344748
46-4,195.04508285505415
46-5,56.78574708615213
46-6,170.3241737854046
46-7,35.77011612016713
46-8,109.11381381285287
46-9,124.41878073808846
47-1,56.93408808635502
47-2,151.89681645437645
47-3,92.56869066283042
48-2,137.44966726081506
48-3,271.9763878218254
49-1,216.64127117266722
50-1,61.22620529785854
50-2,92.00577950917773
50-4,78.80801633956183
50-5,75.4240119462263
50-6,101.49114027372332
50-7,67.25005196570538
51-3,140.56194937807004
51-5,123.65398484790951
51-7,77.40188211274346
51-9,34.63010592381214
52-2,76.11185296600175
53-1,68.69028714144201
53-3,92.24946728669784
53-4,87.53049643954466
54-1,225.39677548696238
54-2,270.54873443275477
56-2,157.65291275598904
56-3,176.89738601546128
58-1,146.58044928827508
58-3,40.3396980827888
58-5,137.39929458880505
58-6,147.539144360092
59-1,62.99706184499948
59-2,151.8315964547337
59-6,72.64015428206176
59-7,82.26799619390408
59-8,136.48386598780257
59-9,54.57289455729631
59-10,109.07395370419044
59-11,87.04892650257216
60-2,85.15794933218956
60-3,102.42570360462469
60-4,210.93583546978527
60-5,172.95095146892004
60-6,177.50477243871524
60-7,74.82765664869453
60-9,72.56355622005663
60-10,51.76310714724286
60-11,177.49673273585736
61-1,111.09644396172118
61-4,227.1526999861877
62-2,142.25673055274632
63-3,241.87517287255037
63-4,160.38931805739924
63-6,231.08889147233998
64-1,55.774396713042876
64-2,241.56931795947253
64-3,55.3752028910892
65-1,70.92135339899478
65-2,59.255200239075265
66-1,80.31161680864186
66-2,180.23351307768377
66-3,101.30681566066528
66-4,60.954589788447485
66-5,65.1935749833599
66-6,215.18865770472178
66-7,63.452301388000706
66-8,84.3543451226567
66-9,80.96273944485495
68-1,261.59582563381673
68-2,34.19800969991715
68-3,35.95365853982088
69-2,138.83861294634667
69-3,204.69291895010312
69-4,54.48395921962779
69-6,140.66895651188952
69-7,107.86411977919715
70-1,73.05059551283776
72-1,140.45255873711926
73-1,189.94936583078066
73-2,81.41418375003857
73-3,163.25284111883627
75-1,75.20411978651714
77-2,247.28376288641925
77-3,223.63502721161336
77-4,104.89681998098158
78-1,48.009521468153665
78-2,231.39145628772977
78-3,166.76623512943343
78-4,67.20193774647157
79-1,99.69896219104224
80-1,105.31130200674738
81-1,243.0729614734457
81-3,254.51714318689733
81-4,143.40389600918843
82-3,46.504269318741876
82-4,285.80050715213486
83-2,280.36340884813353
84-1,122.22424988679722
84-3,165.31721611620068
85-2,97.27815256353824
85-3,71.50484762202757
85-5,130.14369316520083
85-6,60.21812324669099
85-7,47.58884002331469
85-9,56.24023841205802
85-10,150.20589124592638
85-11,125.2769582667203
85-12,34.27164725077047
85-13,41.197383049761754
87-2,81.3616544913084
88-2,103.69058259502015
88-3,45.09323624326885
88-5,158.24536749238882
89-1,113.87960682799272
89-2,138.52041518895774
89-4,43.575147935466816
90-1,90.81343928357262
90-2,50.992536375377085
90-3,94.05533174711093
90-5,148.2105148312882
91-1,90.89724921038471
91-2,102.39296587565468
92-4,156.30549130547877
93-1,99.19539467045706
93-3,136.6333742955203
93-4,154.87765367519557
93-5,54.572814274155235
93-7,81.80222946618545
94-1,157.5420639164737
94-2,229.92778201360431
95-1,168.6163621827926
95-4,194.6825116293121
95-5,180.17200397768875
95-6,133.67893336662223
95-7,284.13986528209875
95-8,140.70091052324864
96-1,123.59758959734329
96-2,113.38714063967734
97-1,118.83218621945252
98-1,155.10967846586243
99-1,187.6709158431521
99-2,263.1609601773654
99-3,54.68866682684806
99-4,229.7319256593791
99-5,87.73978563678955
99-8,111.44047804500337
100-2,199.10726662574018
100-3,274.31365903595395
100-4,50.59212764317782
102-1,170.9461845225488
103-1,153.7563228772567
103-2,170.47047536106857
103-4,285.0356540218116
103-5,117.16769152204864
103-6,157.20528219219077
104-1,47.984214400758106
105-1,82.94052848786833
105-2,190.76479276037395
106-1,92.34240526877605
106-2,167.603366526226
106-5,55.87613761915884
107-1,172.93815376298426
107-2,57.6671273616289
107-3,68.8265079886969
107-4,83.48671923191506
108-1,156.41835592706485
108-2,83.87505903227509
108-3,161.47210106121338
109-1,38.899597937299774
110-1,108.67187411627924
111-1,200.6966809827445
111-2,212.01074599931076
111-3,178.92176713807055
111-4,89.83695250934011
111-6,86.008839220548
111-7,199.474056916348
111-8,185.20577759631493
112-2,66.81839697974469
112-3,98.83615306887452
112-4,117.29941482529244
112-5,190.78134480758933
112-7,180.86775816369254
112-9,119.41073193558634
112-10,122.1194413894467
112-11,78.66704743412129
114-2,135.405292984711
114-3,36.35082715424521
114-4,210.6164057518675
114-5,274.5701556725767
114-6,136.9626063909534
115-1,88.51630368865199
115-2,206.24150389162241
115-3,223.91778093422352
115-4,204.4853900677872
116-1,69.68430196695105
116-2,122.71356784431309
117-1,40.104563366170964
117-2,272.91157233872946
117-3,185.8913754753271
117-4,261.2345091440416
117-5,204.26825575653896
117-6,99.65929333969055
117-9,49.8369489650293
118-1,90.69212036039946
119-2,146.59909075766984
119-3,203.1825279318181
119-4,249.64175687935608
119-5,280.26680365942195
120-1,86.6856033296616
121-1,220.85061059016368
122-1,132.65933182247483
122-2,214.7312725935626
123-1,129.72478641202667
123-2,303.28351963187856
124-1,118.46167620064432
124-3,200.32151181389196
125-1,238.73205253586116
125-4,59.475514562659136
125-5,198.6963816273411
125-6,46.34076427806765
125-8,186.55137739351954
127-1,144.77626026108157
127-2,96.69086740666637
128-1,76.95039830953726
128-2,86.39593623859184
128-3,129.63109713931044
129-1,30.49785824233234
131-3,145.12180235636046
131-4,106.12432420683467
131-5,221.8527296914363
132-1,132.30090195852313
133-3,68.22939642723861
133-4,197.16973331255394
134-1,147.83897018073185
134-2,127.99746747980885
135-1,130.45065327715315
135-2,368.7199958243607
135-3,157.08688766399402
135-5,53.13259264721832
135-6,96.718385545611
135-7,247.16896564219576
135-8,123.91872711684493
136-1,27.534888712476686
136-2,104.00950600450699
136-3,184.54022492355585
136-4,152.12006727630614
136-5,41.678864686919894
137-1,139.30321141242644
137-2,170.3081334050401
138-2,101.90965884254913
138-3,84.4333893537115
138-4,115.78811952806294
138-5,270.47156858055496
138-6,78.10980130932967
139-1,55.29035178403031
139-2,192.9881500656045
139-3,199.9969118590082
139-4,69.86759641218396
